decomposer,dataset,ACC,CC,EDy_EMD,EDy_Eu,"IBU (o=0, i=0.01)","IBU (o=0, i=0.1)","IBU (o=1, i=0.01)","IBU (o=1, i=0.1)",PACC,PCC,PDF_EMD,RUN (tau=1.0),RUN (tau=10.0),RUN (tau=100.0),SLD,SVD (tau=0.001),SVD (tau=0.01),SVD (tau=0.1),o-ACC (tau=0.001),o-ACC (tau=0.01),o-ACC (tau=0.1),"o-EDy (tau=0.001, d=EMD)","o-EDy (tau=0.01, d=EMD)","o-EDy (tau=0.1, d=EMD)","o-HDx (tau=0.001, 16 bins per feature)","o-HDx (tau=0.001, 8 bins per feature)","o-HDx (tau=0.1, 16 bins per feature)","o-HDx (tau=0.1, 8 bins per feature)","o-HDy (tau=0.001, 4 bins per class)","o-HDy (tau=0.001, 8 bins per class)","o-HDy (tau=0.1, 4 bins per class)","o-HDy (tau=0.1, 8 bins per class)",o-PACC (tau=0.001),o-PACC (tau=0.01),o-PACC (tau=0.1),"o-PDF (tau=0.001, J=100, d=s-EMD)","o-PDF (tau=0.01, J=100, d=s-EMD)","o-PDF (tau=0.1, J=100, d=s-EMD)","o-SLD (o=0, i=0.01)","o-SLD (o=0, i=0.1)","o-SLD (o=1, i=0.01)","o-SLD (o=1, i=0.1)",error
Monotone,ERA,0.80062,0.55092,0.6394,0.6461,0.64235,0.5059,0.64534,0.52043,0.74048,0.53155,0.68199,0.74462,0.64492,0.57297,0.98874,0.75227,0.65759,0.59622,0.75283,0.64154,0.58566,0.57795,0.53916,0.51889,0.59207,0.65542,0.50542,0.53739,0.74412,0.62222,0.6048,0.51785,0.6085,0.56965,0.55102,0.6468,0.59826,0.55542,0.95777,0.82343,0.96049,0.83595,emd
Monotone,ESL,0.18642,0.19053,0.13931,0.14928,0.16645,0.15378,0.16658,0.15493,0.15971,0.20138,0.13345,0.17218,0.16537,0.20225,0.16067,0.17927,0.17009,0.18414,0.18506,0.17652,0.18522,0.13729,0.13542,0.1783,0.19092,0.19295,0.19789,0.19823,0.16368,0.17215,0.17168,0.18724,0.15388,0.149,0.18882,0.20703,0.20504,0.20299,0.15163,0.13207,0.15166,0.13229,emd
Monotone,LEV,0.32145,0.25211,0.28119,0.26731,0.2695,0.22591,0.2707,0.22926,0.28821,0.31757,0.2638,0.30257,0.25587,0.24,0.55918,0.31446,0.27527,0.26255,0.31316,0.27189,0.24541,0.2524,0.22567,0.23727,0.33286,0.33101,0.28961,0.28961,0.27694,0.30426,0.23774,0.27533,0.25072,0.23164,0.24711,0.28192,0.26529,0.24365,0.54923,0.5066,0.54959,0.50862,emd
Monotone,SWD,0.27652,0.22853,0.20163,0.18863,0.23678,0.20804,0.2385,0.21234,0.19476,0.30093,0.2391,0.25879,0.23509,0.22652,0.67383,0.26523,0.24059,0.22978,0.27141,0.24622,0.23097,0.20395,0.19929,0.22053,0.25658,0.25805,0.23291,0.23283,0.2293,0.26829,0.21053,0.23595,0.18861,0.20503,0.23542,0.2445,0.23672,0.21808,0.6672,0.62381,0.66969,0.64827,emd
Monotone,SkillCraft1_rev_7clases,0.38324,0.34339,0.32235,0.34559,0.25611,0.25587,0.25683,0.25742,0.39365,0.42672,0.32641,0.33879,0.28255,0.25774,1.1275,0.30838,0.26479,0.2678,0.31863,0.27036,0.27302,0.27303,0.25016,0.26071,0.42162,0.41225,0.36382,0.32443,0.34349,0.31589,0.25115,0.25174,0.28248,0.28162,0.30404,0.30813,0.27513,0.25397,1.09507,0.94661,1.09379,0.94252,emd
Monotone,SkillCraft1_rev_8clases,0.39909,0.3197,0.31934,0.34213,0.28265,0.26746,0.28268,0.26864,0.39663,0.42872,0.33909,0.36768,0.31021,0.27232,1.0788,0.33803,0.28881,0.2926,0.34272,0.28699,0.28512,0.27886,0.25912,0.27533,0.4336,0.43328,0.33885,0.31138,0.36036,0.33016,0.27067,0.26922,0.28394,0.29253,0.31746,0.31245,0.27963,0.2602,1.05328,0.92333,1.05309,0.92238,emd
Monotone,abalone.ord_chu,0.69555,0.53973,0.47256,0.50637,0.51099,0.3982,0.51635,0.40932,0.62968,0.57957,0.5378,0.67304,0.61957,0.54649,1.84244,0.63219,0.55145,0.49879,0.64309,0.56593,0.49924,0.48548,0.46562,0.46449,0.90092,0.86194,0.86958,0.80832,0.61154,0.49076,0.48422,0.4315,0.48037,0.46674,0.46677,0.56266,0.51125,0.47655,1.82384,1.70118,1.82351,1.70697,emd
Monotone,ailerons_gago,0.39307,0.3766,0.26037,0.26003,0.25789,0.28349,0.2577,0.28429,0.32193,0.46306,0.29553,0.36946,0.30912,0.26882,0.84051,0.31342,0.27166,0.29347,0.31037,0.27395,0.29542,0.22503,0.23885,0.2801,0.50991,0.61961,0.47288,0.58073,0.29402,0.26807,0.25313,0.24744,0.25168,0.29541,0.34341,0.25678,0.23115,0.24355,0.78794,0.56732,0.78812,0.57056,emd
Monotone,auto.data.ord_chu,0.38654,0.30349,0.27168,0.29017,0.32794,0.27153,0.32801,0.27329,0.33697,0.30158,0.28795,0.34979,0.29593,0.28708,0.29708,0.37274,0.32772,0.31114,0.37235,0.32296,0.28267,0.27683,0.25301,0.25659,0.41433,0.3837,0.35438,0.32501,0.34858,0.31644,0.29251,0.28481,0.29531,0.25893,0.2682,0.375,0.36705,0.33457,0.28168,0.24318,0.28173,0.24445,emd
Monotone,bostonhousing.ord_chu,0.17783,0.19474,0.15063,0.15533,0.16572,0.15891,0.16613,0.16139,0.17414,0.27409,0.15798,0.16961,0.17224,0.21027,0.36393,0.17675,0.17526,0.20185,0.17699,0.17454,0.18687,0.15274,0.15713,0.19802,0.2675,0.24991,0.28142,0.26106,0.20228,0.22353,0.21166,0.24521,0.17184,0.17487,0.2143,0.20992,0.20869,0.20778,0.35486,0.31755,0.35643,0.32915,emd
